Komoditi Pangan;YoY Growth (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bawang Putih;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daging Ayam;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beras;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daging Sapi;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gula Pasir;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minyak Goreng;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bawang Merah;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Telur Ayam;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabai Rawit;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabai Merah;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
